iter	Logloss
0	0.6511184776
1	0.617574133
2	0.5885890943
3	0.5658690382
4	0.5471095717
5	0.5301392928
6	0.5150893218
7	0.5032950002
8	0.4931437228
9	0.4849623482
10	0.4779026392
11	0.4726173003
12	0.4663364403
13	0.4619330489
14	0.4575291592
15	0.4527896918
16	0.44884202
17	0.445938543
18	0.4424940395
19	0.4387949032
20	0.4361363198
21	0.4327297458
22	0.4300176424
23	0.4285583879
24	0.4247636307
25	0.4221657953
26	0.4203986838
27	0.4178011477
28	0.4147516737
29	0.4126018061
30	0.4110095649
31	0.4096584851
32	0.4075401502
33	0.4062186148
34	0.4053585906
35	0.4037002729
36	0.4018978182
37	0.4011594745
38	0.399582779
39	0.3981905794
40	0.3963031326
41	0.3941750956
42	0.3934315356
43	0.3912815574
44	0.3897397291
45	0.3879125457
46	0.3862010652
47	0.3849503757
48	0.3833213724
49	0.3812564795
50	0.3800842017
51	0.3785487533
52	0.3764643673
53	0.3755838777
54	0.3741686373
55	0.3724937347
56	0.3702748171
57	0.3687380934
58	0.3675497174
59	0.3666840373
60	0.3651343124
61	0.364248073
62	0.3629386317
63	0.3617666297
64	0.3606172972
65	0.3593062935
66	0.3579551446
67	0.3573599571
68	0.3562856699
69	0.3550321214
70	0.3536509135
71	0.3528883266
72	0.3518013753
73	0.3499982139
74	0.3489203564
75	0.3485903356
76	0.3478745402
77	0.3472003547
78	0.3462395403
79	0.3452803684
80	0.3443684262
81	0.3437471884
82	0.342425115
83	0.3417689304
84	0.3408535624
85	0.3401634669
86	0.3390892171
87	0.3385541498
88	0.3379807679
89	0.3363224281
90	0.3353144804
91	0.3337762793
92	0.3326398833
93	0.3308302069
94	0.3296648775
95	0.3284129447
96	0.327793396
97	0.3271792417
98	0.3265950213
99	0.325723094
100	0.3249149776
101	0.3237152757
102	0.3229014886
103	0.3224177877
104	0.3206642578
