iter	Passed	Remaining
0	8	853
1	10	539
2	12	441
3	15	385
4	17	356
5	20	334
6	22	312
7	25	307
8	28	298
9	30	290
10	32	281
11	34	266
12	35	250
13	36	236
14	38	233
15	43	239
16	45	235
17	47	231
18	50	227
19	52	224
20	55	220
21	57	217
22	60	215
23	61	207
24	63	204
25	66	201
26	69	199
27	72	199
28	75	196
29	77	193
30	80	191
31	81	186
32	84	183
33	86	180
34	89	178
35	91	175
36	94	173
37	96	170
38	99	168
39	102	166
40	104	163
41	107	160
42	109	158
43	112	155
44	114	153
45	117	150
46	120	148
47	122	145
48	124	142
49	127	140
50	130	137
51	132	135
52	135	132
53	137	130
54	140	127
55	143	125
56	145	122
57	147	119
58	150	117
59	153	114
60	155	112
61	158	110
62	162	108
63	164	105
64	166	102
65	169	100
66	171	97
67	174	94
68	176	92
69	178	89
70	181	86
71	183	84
72	186	81
73	188	79
74	192	77
75	195	74
76	197	71
77	200	69
78	202	66
79	205	64
80	207	61
81	210	59
82	213	56
83	215	53
84	218	51
85	221	48
86	224	46
87	226	43
88	229	41
89	231	38
90	234	36
91	236	33
92	239	30
93	241	28
94	244	25
95	246	23
96	249	20
97	251	17
98	253	15
99	256	12
100	258	10
101	261	7
102	263	5
103	265	2
104	268	0
